# The SAR move graph for Hummel et al. 2024. One row per designed change.
# consequences and structural_basis are JSON. Residue ids are chain:resnum against 8UV0.
# NOTE ON change_type: the BUILD_SPEC enum has no term for adding a polar group to lower
# lipophilicity, which is what edits cdk2-e10 and cdk2-e11 are. They use polar_addition,
# an extension flagged in ISSUES.md for review.
edit_id	from_compound	to_compound	vector	change_type	headline	rationale_specialist	rationale_plain	consequences	structural_basis	evidence
cdk2-e01	1	2	pyrimidine C2 amine	hinge_swap	The swap that changed target	The anilino methanesulfonamide of the hit was replaced by an sp3 1-(methylsulfonyl)piperidin-4-ylamine at the pyrimidine C2 position. Precedent in this hinge region (ebvaciclib against zotiraciclib, and an aminopiperidine analogue of milciclib) associates sp3 hybridisation here with general kinase selectivity, and that is how the authors rationalise the result.	The starting molecule was really a JAK2 inhibitor. Replacing its flat aniline with a puckered, three-dimensional ring stopped it hitting JAK2 at all, and made it 38 times better at CDK2.	[{"assay_id": "cdk2_e1_ic50", "from": 607, "to": 16, "fold": 38, "direction": "gain"}, {"assay_id": "jak2_ic50", "from": "<1", "to": ">10000", "fold": null, "direction": "gain"}]	["A:86", "A:85", "A:89"]	Fig2
cdk2-e02	2	3	pyrimidine C5	bioisostere	Chlorine to trifluoromethyl at the gatekeeper	Exchanging the C5 chloro for a trifluoromethyl fills the space against the Phe80 gatekeeper. CDK2 potency improved five-fold and CDK1 selectivity went from 64-fold to 130-fold, which established C5 as the isoform selectivity lever for the whole series.	A small chlorine atom was swapped for a bulkier fluorinated group, right where the protein has a bulky residue of its own. This is the single change that separated CDK2 from its dangerous relative CDK1.	[{"assay_id": "cdk2_e1_ic50", "from": 16, "to": 3.2, "fold": 5, "direction": "gain"}, {"assay_id": "cdk1_b1_ic50", "from": 1021, "to": 407, "fold": null, "direction": "loss"}, {"assay_id": "cdk1_fold", "from": 64, "to": 130, "fold": null, "direction": "gain"}]	["A:80"]	Fig2
cdk2-e03	3	4	pyrazole N1	polarity_reduction	Tetrahydropyran to cyclohexyl	Replacing the tetrahydropyran oxygen with a plain methylene gives a lipophilic cyclohexyl. Potency and CDK1 selectivity survive, but simulated gastric fluid solubility falls to 11 ug/mL and human microsomal clearance rises to 1.1 L/h/kg.	Removing a single oxygen atom made the molecule greasier. It still worked on the enzyme, but it dissolved poorly and the liver cleared it quickly.	[{"assay_id": "cdk2_e1_ic50", "from": 3.2, "to": 2.0, "fold": 1.6, "direction": "gain"}, {"assay_id": "sgf_solubility", "from": null, "to": 11, "fold": null, "direction": "loss"}, {"assay_id": "h_cl", "from": null, "to": 1.1, "fold": null, "direction": "loss"}]	[]	T1
cdk2-e04	4	5	pyrazole N1	isostere	Isoelectronic swap to N-methylpiperidine	The cyclohexyl is exchanged for an isoelectronic 1-methylpiperidin-4-yl. Solubility clears 400 ug/mL and clearance falls to 0.7 L/h/kg, but CDK1 selectivity collapses from 130-fold to 29-fold and CDK6 potency drops to 153 nM.	Putting a nitrogen into the ring fixed the solubility problem immediately. The cost was severe: the molecule lost most of its margin over CDK1.	[{"assay_id": "cdk2_e1_ic50", "from": 2.0, "to": 6.1, "fold": 3, "direction": "loss"}, {"assay_id": "cdk1_fold", "from": 130, "to": 29, "fold": null, "direction": "loss"}, {"assay_id": "sgf_solubility", "from": 11, "to": ">400", "fold": null, "direction": "gain"}, {"assay_id": "h_cl", "from": 1.1, "to": 0.7, "fold": null, "direction": "gain"}]	[]	T1
cdk2-e05	3	6	pyrazole N1	ring_change	Saturated ring to ortho-fluorophenyl	Moving from a saturated ring to an ortho-fluorophenyl is tolerated in the enzyme assay at 2.1 nM with 170-fold CDK1 selectivity and clearance below 0.5 L/h/kg, but whole blood potency is poor at about 5 uM.	An aromatic ring worked just as well against the purified enzyme, and the liver left it alone. In human blood, though, it barely worked at all: a warning that enzyme numbers are not the whole story.	[{"assay_id": "cdk2_e1_ic50", "from": 3.2, "to": 2.1, "fold": 1.5, "direction": "gain"}, {"assay_id": "cdk1_fold", "from": 130, "to": 170, "fold": null, "direction": "gain"}, {"assay_id": "wb_pRb", "from": null, "to": 5111, "fold": null, "direction": "loss"}]	[]	T1
cdk2-e06	6	7	pyrazole N1 aryl ortho position	halogenation	Fluorine to chlorine	The ortho-fluorine becomes an ortho-chlorine. Enzyme potency improves nearly four-fold to 0.56 nM and whole blood potency improves six-fold to 823 nM, but human intrinsic clearance rises to 1 L/h/kg.	Swapping fluorine for the larger chlorine made the molecule work far better in blood. The liver then cleared it faster, which is the problem the next few compounds try to solve.	[{"assay_id": "cdk2_e1_ic50", "from": 2.1, "to": 0.56, "fold": 3.8, "direction": "gain"}, {"assay_id": "wb_pRb", "from": 5111, "to": 823, "fold": 6.2, "direction": "gain"}, {"assay_id": "h_cl", "from": "<0.5", "to": 1, "fold": null, "direction": "loss"}]	[]	T1
cdk2-e07	3	8	pyrazole N1	ring_change	Ring to 2,2,2-trifluoroethyl	Dropping the ring entirely for a short fluorinated chain keeps potency at 1.8 nM with 110-fold CDK1 selectivity and clearance below 0.5 L/h/kg, but solubility is only 3 ug/mL.	Replacing the ring with a small fluorinated tail kept the potency and the liver stability. It would barely dissolve, which is what the sulfonyl end of the molecule was then used to fix.	[{"assay_id": "cdk2_e1_ic50", "from": 3.2, "to": 1.8, "fold": 1.8, "direction": "gain"}, {"assay_id": "sgf_solubility", "from": null, "to": 3, "fold": null, "direction": "loss"}, {"assay_id": "h_cl", "from": null, "to": "<0.5", "fold": null, "direction": "gain"}]	[]	T1
cdk2-e08	8	9	pyrazole N1	polar_addition	Fluorinated tail to geminal dimethyl alcohol	Exchanging the trifluoroethyl for a 2-hydroxy-2-methylpropyl group gives subnanomolar potency at 0.42 nM, 150-fold CDK1 selectivity, solubility of 842 ug/mL and clearance below 0.5 L/h/kg, at the cost of CDK6 potency at 160 nM.	Adding an alcohol group made the compound dissolve nearly three hundred times better and pushed potency below one nanomolar. This is the branch that eventually produced the lead.	[{"assay_id": "cdk2_e1_ic50", "from": 1.8, "to": 0.42, "fold": 4.3, "direction": "gain"}, {"assay_id": "sgf_solubility", "from": 3, "to": 842, "fold": 280, "direction": "gain"}, {"assay_id": "cdk6_d3_ic50", "from": 22, "to": 160, "fold": null, "direction": "gain"}]	[]	T1
cdk2-e09	7	10	pyrazole N1 aryl para position	polar_addition	A nitrile to slow the liver down	A cyano group at the para position of the 2-chlorophenyl lowers lipophilicity to cut intrinsic clearance to 0.5 L/h/kg while holding potency at 0.3 nM, but gastric solubility falls below 1 ug/mL.	Adding a small polar group stopped the liver clearing the compound so fast. Solubility got worse again: the two properties kept trading against each other.	[{"assay_id": "cdk2_e1_ic50", "from": 0.56, "to": 0.3, "fold": 1.9, "direction": "gain"}, {"assay_id": "h_cl", "from": 1, "to": 0.5, "fold": null, "direction": "gain"}, {"assay_id": "sgf_solubility", "from": null, "to": "<1", "fold": null, "direction": "loss"}]	[]	T2
cdk2-e10	10	11	pyrazole N1 aryl para position	polar_addition	An ionisable amine for solubility	The nitrile becomes an N-methyl benzylamine, which both breaks molecular planarity and adds an ionisable centre. Solubility rises to 94 ug/mL, but CDK1 selectivity falls to 81-fold and CDK7 to 62-fold.	A basic amine was added to help the compound dissolve, and it did. But it also narrowed the safety margin over CDK1 and CDK7.	[{"assay_id": "sgf_solubility", "from": "<1", "to": 94, "fold": null, "direction": "gain"}, {"assay_id": "cdk1_fold", "from": 110, "to": 81, "fold": null, "direction": "loss"}, {"assay_id": "cdk7_fold", "from": 460, "to": 62, "fold": null, "direction": "loss"}]	[]	T2
