# The SAR move graph for Shvartsbart et al. 2022.
# Residue ids are chain:resnum against 8E1X, which is FGFR2 numbering. The paper's design
# discussion is in FGFR3 numbering, so each cited residue's FGFR3 equivalent is carried in
# motifs.tsv role_note and shown beside it in the app.
edit_id	from_compound	to_compound	vector	change_type	headline	rationale_specialist	rationale_plain	consequences	structural_basis	evidence
fgfr-e01	4	5	pyridazine C6	polar_addition	A methoxy for fifteen-fold potency	Adding a methoxy group at the carbon adjacent to the pyridazine nitrogen took FGFR3 from 68 nM to 4.6 nM while holding FGFR1 selectivity at about 19-fold. This position, the ether vector, became the campaign's main potency lever and everything in Tables 2 and 3 explores it.	Adding a single small group made the compound fifteen times more potent without costing any of the selectivity it already had. That spot on the molecule turned out to be the one worth pushing on.	[{"assay_id": "fgfr3_ic50", "from": 68, "to": 4.6, "fold": 15, "direction": "gain"}, {"assay_id": "fgfr1_ic50", "from": 918, "to": 86, "fold": null, "direction": "loss"}]	[]	T1
fgfr-e02	6	8	pyridazine C6 ether	homologation	One carbon too many	Growing the methoxy to an ethoxy cost four-fold potency, 13 nM to 56 nM. Read alone this says the pocket is small and the campaign should stop here.	Making the group one carbon bigger made the compound four times worse, which normally means there is no room. That reading turned out to be wrong.	[{"assay_id": "fgfr3_ic50", "from": 13, "to": 56, "fold": 4.3, "direction": "loss"}]	[]	T2
fgfr-e03	8	9	pyridazine C6 ether	alkylation	The branch that changed the plan	The bulkier isopropoxy did not lose potency relative to ethoxy, 54 nM against 56 nM. A branched group being tolerated where a linear one was not is what told the authors that sp3 rings would fit, and it is the observation the rest of the paper is built on.	A bigger but branched group worked just as well as the smaller straight one. That is the clue that the pocket is not too small after all: it is a particular shape, and rings would fit it.	[{"assay_id": "fgfr3_ic50", "from": 56, "to": 54, "fold": 1.0, "direction": "neutral"}]	[]	T2
fgfr-e04	9	16	pyridazine C6 ether	ring_change	Cyclised onto an oxetane	Docking compound 9 into FGFR3 placed the isopropyl beside Asn562, suggesting a heteroatom there could engage the asparagine N-H. Cyclising to an oxetane gave 1.1 nM, a fifty-fold gain, and lifted FGFR1 selectivity to 65-fold.	The computer model suggested that putting an oxygen atom in the right place would let the molecule grab a nearby part of the protein. Making that change made it fifty times more potent.	[{"assay_id": "fgfr3_ic50", "from": 54, "to": 1.1, "fold": 49, "direction": "gain"}, {"assay_id": "fgfr1_ic50", "from": 365, "to": 71, "fold": null, "direction": "loss"}]	["A:571"]	T3
fgfr-e05	16	19	pyridazine C6 ether	stereochemistry	The active enantiomer	The racemic tetrahydrofuran 17 gave 2.4 nM. Resolving it showed the whole of the activity sits in one enantiomer: the (S) isomer 19 at 0.9 nM against the (R) isomer 18 at 41 nM, a 45-fold difference between mirror images. 19 was the first sub-nanomolar compound in the series.	The compound was a mixture of two mirror-image forms. Separating them showed one form does nearly all the work and its mirror image is forty-five times weaker. Nothing about the molecule changed except which hand it was.	[{"assay_id": "fgfr3_ic50", "from": 2.4, "to": 0.9, "fold": 2.7, "direction": "gain"}, {"assay_id": "baf3_ic50", "from": 42, "to": 15, "fold": 2.8, "direction": "gain"}]	["A:571"]	T3
fgfr-e06	5	21	benzamide R4	halogenation	Fluorine para to the amide kills two off-targets	A fluorine para to the N-methyl amide abolished KIT and PDGFRB activity: KIT 33 nM to 180 nM and PDGFRB 38 nM to 348 nM, with FGFR3 potency roughly held.	One fluorine atom in the right place stopped the compound hitting two unrelated proteins it should not have been touching.	[{"assay_id": "kit_ic50", "from": 33, "to": 180, "fold": 5.5, "direction": "gain"}, {"assay_id": "pdgfrb_ic50", "from": 38, "to": 348, "fold": 9.2, "direction": "gain"}, {"assay_id": "fgfr3_ic50", "from": 4.6, "to": 2.6, "fold": 1.8, "direction": "gain"}]	[]	T4
fgfr-e07	19	22	benzamide R3	alkylation	A methyl meta to the amide clears the other two	A methyl in the meta position cut FLT3 and TRKA: FLT3 25 nM to 114 nM and TRKA 118 nM to 363 nM. With the R4 fluorine handling KIT and PDGFRB, the two trends together define the substitution pattern the lead needs.	A methyl group in a different position dealt with the other two unwanted targets. Put both changes on the same molecule and all four problems go at once.	[{"assay_id": "flt3_ic50", "from": 25, "to": 114, "fold": 4.6, "direction": "gain"}, {"assay_id": "trka_ic50", "from": 118, "to": 363, "fold": 3.1, "direction": "gain"}]	[]	T4
fgfr-e08	22	23	benzamide R3 and R4	halogenation	Both trends on one ring	Combining the meta methyl with the para fluorine gave compound 23 at 0.7 nM with more than 100-fold selectivity over all four problem kinases: KIT 1657 nM and PDGFRB 1386 nM.	Putting both fixes on the same molecule worked exactly as predicted, which is rarer than it sounds. The result is potent and leaves the other four proteins alone.	[{"assay_id": "fgfr3_ic50", "from": 1.3, "to": 0.7, "fold": 1.9, "direction": "gain"}, {"assay_id": "kit_ic50", "from": 22, "to": 1657, "fold": 75, "direction": "gain"}, {"assay_id": "pdgfrb_ic50", "from": 126, "to": 1386, "fold": 11, "direction": "gain"}]	[]	T4
fgfr-e09	23	25	benzamide R3	halogenation	Methyl to fluorine for the best profile	Replacing the meta methyl with fluorine gave the best biochemical potency of the series at 0.6 nM with the cleanest kinase profile, cellular potency of 6.8 nM, low clearance and good solubility. It also inhibited CYP3A4 at 3.9 uM, which is what sent the campaign back to compound 20.	This version was the best of the series on every measure the chemists had been optimising, and then failed on one they had not: it blocked a liver enzyme that drugs must leave alone.	[{"assay_id": "fgfr3_ic50", "from": 0.7, "to": 0.6, "fold": 1.2, "direction": "gain"}, {"assay_id": "baf3_ic50", "from": 12, "to": 6.8, "fold": 1.8, "direction": "gain"}, {"assay_id": "cyp3a4_ic50", "from": null, "to": 3.9, "fold": null, "direction": "loss"}]	[]	T4
fgfr-e10	20	26	bicyclic core	scaffold_hop	Moving the bridgehead nitrogen	Switching the imidazo[1,2-b]pyridazine core to a pyrazolo[1,5-a]pyrimidine makes a much less basic, less polar bicycle. FGFR3 potency doubled to 1.0 nM and cellular potency improved from 969 nM to 29 nM: a 33-fold gain in translation from enzyme to cell, with CYP3A4 still clean.	Rearranging the core of the molecule, so one nitrogen sits in a different place, made it far better at getting into cells. The same compound went from barely working in cells to working thirty times better.	[{"assay_id": "fgfr3_ic50", "from": 2.2, "to": 1.0, "fold": 2.2, "direction": "gain"}, {"assay_id": "baf3_ic50", "from": 969, "to": 29, "fold": 33, "direction": "gain"}]	[]	T6
