# The SAR move graph for Ye et al. 2025. Residue ids are chain:resnum against 9E5F.
# This campaign is unusual: its most important edits deliberately LOSE binding potency.
# Compound 10 binds below 1 pM and does nothing useful in an animal; compound 23 binds a
# thousand times more weakly and is the candidate. The consequences record both.
edit_id	from_compound	to_compound	vector	change_type	headline	rationale_specialist	rationale_plain	consequences	structural_basis	evidence
kras-e01	1	2	piperazine	rigidification	A bridge across the piperazine	The patent hit engaged Asp12 through a piperazine nitrogen. Bridging that ring took exchange potency from 8 uM to 704 nM, an observation several groups made independently. It is the first evidence that a reversible inhibitor of G12D was worth pursuing at all.	The starting molecule was barely active. Adding a bridge across one of its rings, so it could no longer flex, made it ten times better. That was the first sign this approach could work without the chemical warhead that earlier drugs relied on.	[{"assay_id": "kras_g12d_exc", "from": 8000, "to": 704, "fold": 11, "direction": "gain"}]	["A:12"]	Fig2
kras-e02	2	3	whole scaffold	scaffold_hop	A new core, and a cage that holds an amine where it should not reach	Moving to a tricyclic imidazole scaffold with an azabicyclo[2.1.1]hexane held potency at 671 nM while changing chemical series entirely. The crystal structure explains why almost every replacement for that cage failed: it orients the protonated amine directly below the plane of the core, a conformation that is otherwise hard to reach, where it hydrogen bonds Tyr96 at 2.8 A and reaches Gly10 through a bridging water.	The chemists rebuilt the molecule around a different core, keeping a small rigid cage that holds one arm in an unusual position. The crystal structure shows that arm gripping the protein in two places. Almost nothing else they tried in that position worked, and now they could see why.	[{"assay_id": "kras_g12d_exc", "from": 704, "to": 671, "fold": 1.0, "direction": "neutral"}]	["A:96", "A:10"]	Fig2
kras-e03	3	4	imidazole 2-position	homologation	A two-carbon reach towards the mutation	The structure of 3 showed no contact with Asp12 at all, which made the imidazole 2-position an obvious vector. A two-carbon linker capped with a tertiary amide proved the right length, with shorter and longer chains both worse, and changing chloro to methyl at the 8 position added about two-fold. Together, fifty-fold: 671 nM to 12 nM, and the first cellular activity at 1.3 uM.	The first crystal structure showed the molecule never touched the mutated residue it was aimed at. Adding an arm of exactly the right length to reach it made the compound fifty times more potent, and for the first time it worked in cells.	[{"assay_id": "kras_g12d_exc", "from": 671, "to": 12, "fold": 56, "direction": "gain"}, {"assay_id": "perk", "from": null, "to": 1300, "fold": null, "direction": "gain"}]	["A:12"]	Fig2
kras-e04	4	5	core 8-position	alkylation	A cyanoethyl that folds back under the core	Replacing the 8-methyl with cyanoethyl took exchange potency to 2.9 nM, the floor of that assay, and SPR binding a hundred-fold beyond compound 4 to 0.02 nM. The intention was to push the switch II loop open into an extended pocket. The structure of 5a shows that is not what happened: the loop sits where it always did and the cyanoethyl has bent underneath the core to hydrogen bond the same water as the bicyclic amine.	Adding a small nitrile-tipped arm made the compound a hundred times stronger. The chemists expected it to prise open a loop of the protein. The crystal structure shows it did nothing of the kind: it tucked underneath the molecule and grabbed the same water molecule the other arm was already holding.	[{"assay_id": "kras_g12d_exc", "from": 12, "to": 2.9, "fold": 4.1, "direction": "gain"}, {"assay_id": "kras_g12d_spr", "from": 3, "to": 0.02, "fold": 150, "direction": "gain"}, {"assay_id": "perk", "from": 1300, "to": 127, "fold": 10, "direction": "gain"}]	["A:10", "A:12"]	Fig2
kras-e05	5	8	core ring atom	ring_change	Imidazole to indole, for polarity	Swapping the imidazole core nitrogen for a C-H gives the indole core, reducing polarity. Potency is essentially unchanged, and cellular translation improves subtly, which was enough to carry the indole forward for all later work.	Changing one nitrogen atom in the core for a carbon made the molecule slightly less polar. It did not change how well it worked, but it moved a little closer to being something that could get into cells, so the chemists kept it.	[{"assay_id": "kras_g12d_spr", "from": 0.02, "to": 0.04, "fold": 2, "direction": "loss"}, {"assay_id": "perk", "from": 127, "to": 104, "fold": 1.2, "direction": "gain"}]	[]	T1
kras-e06	8	10	solvent front	ring_change	The best binder the programme ever made	Replacing the amino azetidine with a fluorinated bicyclic pyrrolizidine ether, a fragment first reported by Mirati, bottomed out the SPR assay below 1 pM and gave 20 nM in cells with 410 nM in whole blood. It is also the compound that proved the approach could not continue: no measurable Caco-2 flux at all, and clearance above 1.1 L/h/kg.	This was the most potent compound of the whole programme, binding so tightly the instrument could not measure it. It was also a dead end: it could not cross a cell membrane at any measurable rate, and the liver cleared it quickly. Potency was never going to be the problem again.	[{"assay_id": "kras_g12d_spr", "from": 0.04, "to": 0.001, "fold": 40, "direction": "gain"}, {"assay_id": "perk", "from": 104, "to": 20, "fold": 5.2, "direction": "gain"}, {"assay_id": "hwb_perk", "from": 1131, "to": 410, "fold": 2.8, "direction": "gain"}]	[]	T1
kras-e07	10	11	solvent front	polarity_reduction	One liability removed: the basic amine	Replacing the pyrrolidinol with a simple ethoxy costs 200-fold of binding but holds whole blood potency within two-fold. It removes one of the two basic amines, which was the first of two hard requirements the team set itself.	Taking away one of the molecule's two strongly basic groups cost a great deal of raw binding strength but barely changed how well it worked in blood. That trade is the whole strategy of the rest of the paper.	[{"assay_id": "kras_g12d_spr", "from": 0.001, "to": 0.26, "fold": 260, "direction": "loss"}, {"assay_id": "hwb_perk", "from": 410, "to": 492, "fold": 1.2, "direction": "loss"}]	[]	Fig4
kras-e08	10	12	switch II aryl	polarity_reduction	The other liability: the naphthol	Converting the 3-hydroxynaphthol to 7-fluoronaphthyl removes a metabolic liability and a hydrogen bond donor, again at about 200-fold of binding and about two-fold of whole blood potency.	The molecule carried a chemical group known to be broken down quickly by the body. Removing it cost binding strength but, again, hardly any real-world potency.	[{"assay_id": "kras_g12d_spr", "from": 0.001, "to": 0.24, "fold": 240, "direction": "loss"}, {"assay_id": "hwb_perk", "from": 410, "to": 1096, "fold": 2.7, "direction": "loss"}]	[]	Fig4
kras-e09	11	13	solvent front and switch II aryl	polarity_reduction	Both at once, and it breaks	Combining the two changes that each cost 200-fold separately loses more than 30-fold beyond that, and improves clearance only moderately with no gain in permeability. Removing both liabilities was necessary, and on this scaffold it was not possible.	Each change on its own was affordable. Doing both to the same molecule was not: it lost far more than the two losses added together, and still would not cross a membrane. Something else had to change.	[{"assay_id": "kras_g12d_exc", "from": null, "to": 391, "fold": null, "direction": "loss"}, {"assay_id": "h_cl", "from": null, "to": 0.7, "fold": null, "direction": "gain"}]	[]	Fig4
kras-e10	11	14	amide tail	conformational_lock	The lactam a microsecond of simulation asked for	A 1 us molecular dynamics run on the ground state showed the cyanoethyl already sits mostly in its bioactive conformation, while the ethyl amide samples a wide ensemble of which the bioactive form is a small sliver. Locking that amide into a gamma-lactam improved binding five-fold, to 0.05 nM, at the cost of whole blood potency.	A simulation of how the molecule moves showed one arm was already held in the right shape, while another flailed around and was almost never in the useful position. Tying that arm into a ring made the compound five times stronger at binding, though not yet in blood.	[{"assay_id": "kras_g12d_spr", "from": 0.26, "to": 0.05, "fold": 5.2, "direction": "gain"}, {"assay_id": "hwb_perk", "from": 492, "to": 2354, "fold": 4.8, "direction": "loss"}]	[]	T2
kras-e11	14	15	solvent front	polarity_reduction	Methyl restores what the lactam cost	Switching the ethoxy for a methyl recovers whole blood potency from 2354 nM to 597 nM, a trend the paper reports as consistent throughout the series.	Swapping one small group for an even simpler one restored most of the potency in blood that the previous change had cost.	[{"assay_id": "hwb_perk", "from": 2354, "to": 597, "fold": 3.9, "direction": "gain"}]	[]	T2
kras-e12	16	17	mutation site ring	polar_addition	One oxygen in the ring	Replacing the lactam's piperidinone with a morpholinone, one extra oxygen in the ring, improves cellular potency from 39 nM to 7.2 nM and whole blood from 1030 nM to 677 nM, while keeping the permeability that cyclisation first delivered.	Adding a single oxygen atom into one ring made the compound five times better in cells, and it kept the ability to cross membranes that the ring itself had won.	[{"assay_id": "perk", "from": 39, "to": 7.2, "fold": 5.4, "direction": "gain"}, {"assay_id": "hwb_perk", "from": 1030, "to": 677, "fold": 1.5, "direction": "gain"}]	[]	T2
kras-e13	17	18	solvent heteroaryl	ring_change	A pyridine where a basic amine used to be	With the basic amine requirement gone, the solvent position could take a heteroaryl. 2-Methylpyridin-4-yl more than doubled permeability to 1.6 and brought clearance to 1.0 L/h/kg: the first compound in the programme with both at once.	Freed from needing a strongly basic group, the chemists could put a simple ring there instead. For the first time one compound both crossed membranes and survived the liver.	[{"assay_id": "caco2_papp", "from": 0.7, "to": 1.6, "fold": 2.3, "direction": "gain"}, {"assay_id": "h_cl", "from": null, "to": 1.0, "fold": null, "direction": "gain"}]	[]	T3
